,PLOT_ID,specie,G_sp,N_sp,sp_1,sp_2,sp_3,G_sp_1,G_sp_2,G_sp_3,N_sp_1,N_sp_2,N_sp_3,SUM_DBH,SUM_H,BASAL_AREA,DENSITY,CD_0_75,CD_75_125,CD_125_175,CD_175_225,CD_225_275,CD_275_325,CD_325_375,CD_375_425,CD_425_,MEAN_DBH,MEAN_H,QM_DBH,DOMINANT_H,X,Provincia,Estadillo,ESTRATO,FECHGR,CODGR,NUMPMA,NUMTIP,NUMPME,NUMMAT,VERIFICA,FECHAVE,CODVE,HOJA,VUELO,FOTO,COORDEX,COORDEY,ANO,MUNICI,PROPIED1,PROPIED2,AREAPRO1,AREAPRO2,ALTITUD1,ALTITUD2,PENDIEN1,PENDIEN2,USO1,USO2,FRACCION1,FRACCION2,ESPECIA12,OCUPA11,OCUPA12,ESTADA11,ESTADA12,ESPECIA21,ESPECIA22,OCUPA21,OCUPA22,ESTADA21,ESTADA22,ESPECIA31,ESPECIA32,OCUPA31,OCUPA32,ESTADA31,ESTADA32,ESPECIB1,MASAB1,ORIGEB1,EDADB1,ESPECIB2,MASAB2,ORIGEB2,EDADB2,ESPECIB3,MASAB3,ORIGEB3,EDADB3,ESPECIE1,ESPECIE2,ESPECIE3,ESPECIE4,ESPECIE5,ESPECIE6,ESPECIE7,CLASUELO,ESPESOR,CLACOBER,CUBIERTA,MEROSIVA1,MEROSIVA2,MEROSIVA3,MEROSIVA4,DISESPAC,COMPESPE,PREPSUEL1,PREPSUEL2,TRAVUELO1,TRAVUELO2,CORTAS,DANOS1,DANOS2,DANOS3,ORIENTA1,ORIENTA2,MAXPEND1,MAXPEND2,INVENTORY_ID,AGE,MUNICIPALITY,SPECIE_IFN_ID,Fecha_IFN2,Anyo_IFN2,EXEC_TIME
15103,28_10_IFN2,21,112677375,1050.42262440651,21,NA,NA,112677375,NA,NA,1050.42262440651,NA,NA,12070.3108840893,6732.25409278717,11.2677375,1050.42262440651,0,763.943726841098,286.478897565412,0,0,0,0,0,0,11.4909090909091,6.40909090909091,11.6866862866955,7,10,28,10,0,911024,NA,NA,NA,NA,NA,6,911111,NA,458,1,0458J13,456,4554,90,88,1,1,0,0,16,16,5,5,1,1,40,60,21,0,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,1,18,NA,NA,NA,NA,NA,NA,NA,NA,21,78,37,NA,NA,NA,NA,2,2,W,20,NA,NA,NA,1,1,1,NA,1,NA,0,0,NA,NA,1,397,NA,10.50,NA,IFN2,18,88,21,19911024,1991,9
15105,28_104_IFN2,21,402339.145833333,1679.96884374778,21,NA,NA,402339.145833333,NA,NA,1679.96884374778,NA,NA,28767.2559638601,10597.9508216637,40.2339145833333,1679.96884374778,0,159.154943091895,859.436692696235,604.788783749202,42.4413181578388,14.1471060526129,0,0,0,17.1236842105263,6.30842105263158,17.4622656334346,7,104,28,104,0,911025,NA,NA,NA,NA,NA,6,911113,NA,458,1,0458M07,437,4540,90,97,1,1,0,0,18,18,4,4,1,1,80,80,21,0,0,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,34,NA,NA,NA,NA,NA,NA,NA,NA,21,37,NA,NA,NA,NA,NA,2,3,W,20,NA,NA,NA,1,1,1,NA,0,NA,0,0,NA,NA,1,356,NA,4.50,NA,IFN2,34,97,21,19911025,1991,9
15107,28_105_IFN2,21,286407.263888889,2143.28656697086,21,NA,NA,286407.263888889,NA,NA,2143.28656697086,NA,NA,27128.1368888392,12486.5894796875,28.6407263888889,2143.28656697086,0,1145.91559026165,859.436692696235,95.4929658551372,42.4413181578388,0,0,0,0,12.6572607260726,5.82590759075908,13.0438847374126,7.88333333333333,105,28,105,0,911025,NA,NA,NA,NA,NA,6,911113,NA,458,1,0458M07,438,4540,90,97,1,1,0,0,16,16,4,4,1,1,80,85,21,0,0,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,1,26,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,2,2,W,20,NA,NA,NA,1,1,1,NA,0,NA,0,0,NA,NA,1,290,NA,5.50,NA,IFN2,26,97,21,19911025,1991,9
15118,28_112_IFN2,21,122618.930555556,392.582192960009,21,NA,NA,122618.930555556,NA,NA,392.582192960009,NA,NA,7707.34337746352,3529.70296012692,12.2618930555556,392.582192960009,0,0,127.323954473516,222.816920328653,28.2942121052258,14.1471060526129,0,0,0,19.6324324324324,8.99099099099099,19.9419913252919,8.96666666666667,112,28,112,0,911028,NA,NA,NA,NA,NA,6,911113,NA,459,3,459284,457,4553,90,88,1,1,0,0,16,16,5,5,1,1,30,65,21,0,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,1,23,NA,NA,NA,NA,NA,NA,NA,NA,21,43,37,NA,NA,NA,NA,2,5,G,20,NA,NA,NA,1,1,1,NA,0,NA,0,0,NA,NA,P914,336,NA,12.25,NA,IFN2,23,88,21,19911028,1991,9
15119,28_113_IFN2,21,482519.458333333,1559.71844230057,21,NA,NA,482519.458333333,NA,NA,1559.71844230057,NA,NA,30404.9603282757,16856.2768616883,48.2519458333333,1559.71844230057,0,31.8309886183791,445.633840657307,700.281749604339,353.677651315323,28.2942121052258,0,0,0,19.4938775510204,10.8072562358277,19.8467487356028,10.9375,113,28,113,0,911028,NA,64,5,2,3,6,911113,NA,459,3,459284,457,4552,90,88,1,1,0,0,16,16,5,5,1,1,30,90,21,0,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,1,24,NA,NA,NA,NA,NA,NA,NA,NA,21,78,37,43,NA,NA,NA,2,2,W,20,NA,NA,NA,1,1,1,NA,1,NA,0,0,NA,NA,1,88,NA,9.50,NA,IFN2,24,88,21,19911028,1991,9
15129,28_115_IFN2,21,6642.25,127.323954473516,21,NA,NA,6642.25,NA,NA,127.323954473516,NA,NA,1037.69022895916,445.633840657307,0.664225,127.323954473516,0,127.323954473516,0,0,0,0,0,0,0,8.15,3.5,8.15,3.5,115,28,115,0,911028,NA,NA,NA,NA,NA,6,911113,NA,459,3,459284,458,4551,90,88,4,4,0,0,14,14,3,3,1,1,40,30,21,0,0,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,1,10,NA,NA,NA,NA,NA,NA,NA,NA,21,37,43,78,NA,NA,NA,2,2,W,20,NA,NA,NA,1,1,1,NA,1,NA,0,0,NA,NA,1,283,NA,3.00,NA,IFN2,10,88,21,19911028,1991,9
15130,28_118_IFN2,21,389947.993055556,2206.94854420762,21,NA,NA,389947.993055556,NA,NA,2206.94854420762,NA,NA,32045.8477915531,26043.0538546038,38.9947993055556,2206.94854420762,0,763.943726841098,891.267681314614,523.442923946678,28.2942121052258,0,0,0,0,14.5204326923077,11.8004807692308,14.9989998331085,13.85,118,28,118,0,911028,NA,NA,NA,NA,NA,6,911113,NA,459,3,459328,460,4548,90,69,4,4,0,0,15,15,5,5,1,1,70,85,21,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,1,36,NA,NA,NA,NA,NA,NA,NA,NA,21,37,43,NA,NA,NA,NA,2,4,W,17,NA,NA,NA,1,1,1,NA,0,NA,0,0,NA,NA,M914,226,NA,9.25,NA,IFN2,36,69,21,19911028,1991,9
15131,28_122_IFN2,21,10920.25,31.8309886183791,21,NA,NA,10920.25,NA,NA,31.8309886183791,NA,NA,665.267662124122,206.901426019464,1.092025,31.8309886183791,0,0,0,31.8309886183791,0,0,0,0,0,20.9,6.5,20.9,6.5,122,28,122,0,911028,NA,NA,NA,NA,NA,6,911113,NA,459,3,459328,460,4547,90,69,4,4,0,0,15,15,5,5,1,1,70,25,21,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,1,39,NA,NA,NA,NA,NA,NA,NA,NA,21,25,NA,NA,NA,NA,NA,2,1,W,11,NA,NA,NA,1,1,1,NA,0,NA,0,0,NA,NA,1,343,NA,9.25,NA,IFN2,39,69,21,19911028,1991,9
15137,28_129_IFN2,21,358041.173611111,1955.83741177374,21,NA,NA,358041.173611111,NA,NA,1955.83741177374,NA,NA,29007.4030891032,20263.9610321114,35.8041173611111,1955.83741177374,0,509.295817894065,954.929658551372,477.464829275686,14.1471060526129,0,0,0,0,14.8311934900543,10.3607594936709,15.2670515052401,11.0645161290323,129,28,129,0,911028,NA,NA,NA,NA,NA,6,911113,NA,459,3,459327,461,4545,90,69,4,4,0,0,15,15,5,5,1,1,40,95,21,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,1,22,NA,NA,NA,NA,NA,NA,NA,NA,21,78,57,NA,NA,NA,NA,2,4,W,20,NA,NA,NA,1,1,1,NA,1,NA,4,0,NA,NA,P914,198,NA,8.75,NA,IFN2,22,69,21,19911028,1991,9
15138,28_130_IFN2,21,159972125,1623.38041953733,21,NA,NA,159972125,NA,NA,1623.38041953733,NA,NA,17901.7479989764,8880.84582452776,15.9972125,1623.38041953733,0,1145.91559026165,477.464829275686,0,0,0,0,0,0,11.0274509803922,5.47058823529412,11.2012648095353,6625,130,28,130,0,911028,NA,NA,NA,NA,NA,6,911113,NA,459,3,459327,462,4545,90,69,4,4,0,0,16,16,5,5,1,1,40,55,21,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,1,20,NA,NA,NA,NA,NA,NA,NA,NA,21,57,NA,NA,NA,NA,NA,2,3,W,20,NA,NA,NA,1,1,1,NA,1,NA,0,0,NA,NA,1,173,NA,11.25,NA,IFN2,20,69,21,19911028,1991,9
15139,28_134_IFN2,21,197888875,2196.33821466816,21,NA,NA,197888875,NA,NA,2196.33821466816,NA,NA,23042.4526608446,11077.1840391959,19.7888875,2196.33821466816,0,1782.53536262923,413.802852038928,0,0,0,0,0,0,10.4913043478261,5.04347826086957,10.7106577018313,6125,134,28,134,0,911028,NA,27,4,2,2,6,911113,NA,459,3,459328,460,4544,90,118,4,4,0,0,16,16,3,3,1,1,90,70,21,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,1,30,NA,NA,NA,NA,NA,NA,NA,NA,21,78,NA,NA,NA,NA,NA,2,3,W,20,NA,NA,NA,1,1,1,NA,0,NA,0,0,NA,NA,P914,185,NA,4.00,NA,IFN2,30,118,21,19911028,1991,9
15140,28_135_IFN2,21,388375.4375,1955.83741177374,21,NA,NA,388375.4375,NA,NA,1955.83741177374,NA,NA,30517.9603378709,21018.0017847157,38.83754375,1955.83741177374,0,381.971863420549,923.098669932993,636.619772367581,14.1471060526129,0,0,0,0,15.6035262206148,10.7462929475588,15.9006384429465,11.4677419354839,135,28,135,0,911028,NA,NA,NA,NA,NA,6,911114,NA,459,3,459327,461,4544,90,118,4,4,0,0,16,16,5,5,1,1,90,95,21,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,1,41,NA,NA,NA,NA,NA,NA,NA,NA,21,78,95,NA,NA,NA,NA,2,3,W,20,NA,NA,NA,1,1,1,NA,0,NA,4,4,NA,NA,1,325,NA,7.50,NA,IFN2,41,118,21,19911028,1991,9
15141,28_136_IFN2,21,458586.458333333,2097.30847229987,21,NA,NA,458586.458333333,NA,NA,2097.30847229987,NA,NA,33571.4363405018,24478.0302475335,45.8586458333333,2097.30847229987,0,509.295817894065,827.605704077856,604.788783749202,127.323954473516,28.2942121052258,0,0,0,16.0069139966273,11.6711635750422,16.6853191016669,13125,136,28,136,0,911028,NA,NA,NA,NA,NA,6,911114,NA,459,3,459327,462,4544,90,118,4,4,0,0,15,15,5,5,1,1,90,95,21,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,1,38,NA,NA,NA,NA,NA,NA,NA,NA,21,78,15,95,43,NA,NA,2,3,W,20,NA,NA,NA,1,1,1,NA,0,NA,0,0,NA,NA,1,60,NA,7.25,NA,IFN2,38,118,21,19911028,1991,9
15144,28_137_IFN2,21,65596.1875,668.45076098596,21,NA,NA,65596.1875,NA,NA,668.45076098596,NA,NA,7243.14146011216,3214.92985045629,6.55961875,668.45076098596,0,381.971863420549,286.478897565412,0,0,0,0,0,0,10.8357142857143,4.80952380952381,11.1778852672417,6,137,28,137,0,911028,NA,NA,NA,NA,NA,6,911114,NA,459,3,459326,463,4544,90,69,4,4,0,0,15,15,5,5,1,1,40,40,21,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,1,20,NA,NA,NA,NA,NA,NA,NA,NA,21,78,57,NA,NA,NA,NA,2,3,W,14,NA,NA,NA,1,1,1,NA,1,NA,0,0,NA,NA,1,225,NA,15.00,NA,IFN2,20,69,21,19911028,1991,9
15155,28_140_IFN2,21,414193.361111111,2189.26466164185,21,NA,NA,414193.361111111,NA,NA,2189.26466164185,NA,NA,33166.829107397,21770.6278267147,41.4193361111111,2189.26466164185,0,509.295817894065,1114.08460164327,509.295817894065,56.5884242104517,0,0,0,0,15.1497576736672,9.94426494345719,15.5205637732155,11.2352941176471,140,28,140,0,911028,NA,59,5,2,2,6,911114,NA,459,3,459435,462,4543,90,118,4,4,0,0,15,15,4,4,1,1,90,99,21,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,1,42,NA,NA,NA,NA,NA,NA,NA,NA,21,78,15,43,NA,NA,NA,2,4,W,20,NA,NA,NA,1,1,1,NA,1,NA,1,0,NA,NA,1,108,NA,5.25,NA,IFN2,42,118,21,19911028,1991,9
15160,28_142_IFN2,21,242012.4375,3278.59182769304,21,NA,NA,242012.4375,NA,NA,3278.59182769304,NA,NA,31425.1435134947,16759.0155075766,24.20124375,3278.59182769304,0,3055.77490736439,222.816920328653,0,0,0,0,0,0,9.58495145631068,5.11165048543689,9.69460739903165,6,142,28,142,0,911028,NA,31,4,1,0,6,911114,NA,459,3,459433,459,4542,90,118,3,3,0,0,16,16,4,4,1,1,40,85,21,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,1,39,NA,NA,NA,NA,NA,NA,NA,NA,21,78,NA,NA,NA,NA,NA,2,3,W,20,NA,NA,NA,1,1,1,NA,0,NA,0,0,NA,NA,P908,124,NA,4.75,NA,IFN2,39,118,21,19911028,1991,9
15161,28_143_IFN2,21,152225.9375,1941.69030572112,21,NA,NA,152225.9375,NA,NA,1941.69030572112,NA,NA,19097.0016215965,11602.3953513992,15.22259375,1941.69030572112,0,1782.53536262923,159.154943091895,0,0,0,0,0,0,9.83524590163934,5.97540983606557,9.99101030353016,6.5,143,28,143,0,911028,NA,NA,NA,NA,NA,6,911114,NA,459,3,459434,460,4542,90,118,4,4,0,0,14,14,5,5,1,1,40,70,21,0,9,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,1,22,NA,NA,NA,NA,NA,NA,NA,NA,21,43,15,NA,NA,NA,NA,2,2,W,20,NA,NA,NA,1,1,2,NA,1,NA,4,0,NA,NA,1,12,NA,8.00,NA,IFN2,22,118,21,19911028,1991,9
15164,28_148_IFN2,21,83525.6666666667,226.353696841807,21,NA,NA,83525.6666666667,NA,NA,226.353696841807,NA,NA,4743.1709817898,2125.60268440509,8.35256666666667,226.353696841807,0,0,95.4929658551372,31.8309886183791,56.5884242104517,42.4413181578388,0,0,0,20.9546875,9.390625,21.675605527874,10.8918918918919,148,28,148,0,911028,NA,11,5,0,0,6,911114,NA,459,3,459433,459,4541,90,118,3,3,0,0,15,15,4,4,1,1,40,55,21,0,0,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,1,38,NA,NA,NA,NA,NA,NA,NA,NA,21,43,NA,NA,NA,NA,NA,2,1,W,2,NA,NA,NA,1,1,1,NA,0,2,4,0,NA,P112,P212,92,NA,6.25,NA,IFN2,38,118,21,19911028,1991,9
15165,28_149_IFN2,21,129754.3125,827.605704077856,21,NA,NA,129754.3125,NA,NA,827.605704077856,NA,NA,11623.0854940011,5936.4793773277,12.97543125,827.605704077856,0,127.323954473516,700.281749604339,0,0,0,0,0,0,14.0442307692308,7.17307692307692,14.1287656655056,7.5,149,28,149,0,911028,NA,23,5,2,2,6,911114,NA,459,3,459434,460,4541,90,118,4,4,0,0,15,15,5,5,1,1,40,75,21,0,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,1,21,NA,NA,NA,NA,NA,NA,NA,NA,21,73,57,NA,NA,NA,NA,2,2,W,20,NA,NA,NA,1,1,1,NA,1,NA,4,0,NA,NA,1,230,NA,10.25,NA,IFN2,21,118,21,19911028,1991,9
15166,28_15_IFN2,21,161749.0625,954.929658551372,21,NA,NA,161749.0625,NA,NA,954.929658551372,NA,NA,13940.3814654191,6509.43717245852,16.17490625,954.929658551372,0,0,891.267681314614,63.6619772367581,0,0,0,0,0,14.5983333333333,6.81666666666667,14.685551289164,7125,15,28,15,0,911024,NA,NA,NA,NA,NA,6,911111,NA,458,1,0458J13,455,4553,90,71,1,1,0,0,17,17,4,4,1,1,40,70,21,0,0,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,1,26,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,2,2,W,20,NA,NA,NA,1,1,1,NA,0,3,4,0,NA,NA,1,170,NA,6.25,NA,IFN2,26,71,21,19911024,1991,9
15176,28_153_IFN2,21,214815.840277778,1206.04079098525,21,25,NA,214815.840277778,7656.25,NA,1206.04079098525,127.323954473516,NA,18785.4116107877,8574.91465614,22.2472090277778,1333.36474545877,0,509.295817894065,572.957795130823,222.816920328653,28.2942121052258,0,0,0,0,14.0887267904509,6.43103448275862,14.575328205831,7.94285714285714,153,28,153,0,911028,NA,31,4,3,2,6,911114,NA,459,3,459433,458,4540,90,27,1,1,0,0,13,13,5,5,1,1,40,70,21,0,0,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,1,39,NA,NA,NA,NA,NA,NA,NA,NA,21,25,45,15,NA,NA,NA,2,2,W,20,NA,NA,NA,1,1,1,NA,0,NA,0,0,NA,NA,P204,369,NA,9.25,NA,IFN2,39,27,21,19911028,1991,9
